UPE_U

 ======== test get_l2 ========= 

2026-02-10 16:51:13,823; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/UPE_U.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:51:18,368; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 3/27333
2026-02-10 16:51:18,391; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 2/27333
2026-02-10 16:51:18,687; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 0/27333
2026-02-10 16:51:18,707; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 1/27333
2026-02-10 16:51:19,005; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 0/27333
2026-02-10 16:51:19,025; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 0/27333
2026-02-10 16:51:19,325; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 2/27333
2026-02-10 16:51:19,621; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 0/27333
2026-02-10 16:51:19,642; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 3/27333
2026-02-10 16:51:19,945; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 0/27333
2026-02-10 16:51:19,966; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 0/27333
2026-02-10 16:51:20,272; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 1/27333
2026-02-10 16:51:20,569; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 1/27333
2026-02-10 16:51:20,590; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 1/27333
2026-02-10 16:51:20,893; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 0/27333
2026-02-10 16:51:20,912; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/27333
2026-02-10 16:51:21,213; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/27333
2026-02-10 16:51:21,519; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/27333
2026-02-10 16:51:21,818; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/27333
2026-02-10 16:51:22,380; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/UPE_U.csv
2026-02-10 16:51:23,024; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/UPE_U.csv
2026-02-10 16:51:23,040; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-31 00:00:00 2009-11-02 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,047; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-31 00:00:00 2009-11-02 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,051; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-31 00:00:00 2009-11-02 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,055; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2009-10-31 00:00:00 2009-11-02 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,061; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-01-06 00:00:00 2010-01-10 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,065; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-01-06 00:00:00 2010-01-10 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,068; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-01-06 00:00:00 2010-01-10 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,071; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-01-06 00:00:00 2010-01-10 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,076; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-01-14 00:00:00 2010-01-21 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,079; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-01-14 00:00:00 2010-01-21 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,083; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-01-14 00:00:00 2010-01-21 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,086; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2010-01-14 00:00:00 2010-01-21 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,090; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-01-02 00:00:00 2011-01-06 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,094; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-01-02 00:00:00 2011-01-06 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,097; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-01-02 00:00:00 2011-01-06 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,100; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-01-02 00:00:00 2011-01-06 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,105; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-03-09 00:00:00 2012-03-11 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,108; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-03-09 00:00:00 2012-03-11 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,111; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-03-09 00:00:00 2012-03-11 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,115; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-03-09 00:00:00 2012-03-11 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,119; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-03-27 00:00:00 2012-03-29 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,122; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-03-27 00:00:00 2012-03-29 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,125; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-03-27 00:00:00 2012-03-29 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,129; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-03-27 00:00:00 2012-03-29 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,133; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-14 00:00:00 2012-12-17 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,136; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-14 00:00:00 2012-12-17 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,140; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-14 00:00:00 2012-12-17 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,143; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-12-14 00:00:00 2012-12-17 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,147; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-01-11 00:00:00 2013-01-13 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,151; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-01-11 00:00:00 2013-01-13 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,154; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-01-11 00:00:00 2013-01-13 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,157; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-01-11 00:00:00 2013-01-13 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,161; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-10-04 00:00:00 2013-10-06 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,165; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-10-04 00:00:00 2013-10-06 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,168; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-10-04 00:00:00 2013-10-06 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,171; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-10-04 00:00:00 2013-10-06 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,175; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-02-17 00:00:00 2014-02-25 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,179; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-02-17 00:00:00 2014-02-25 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,182; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-02-17 00:00:00 2014-02-25 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,185; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-02-17 00:00:00 2014-02-25 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,189; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-20 00:00:00 2015-12-22 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,193; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-20 00:00:00 2015-12-22 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,196; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-20 00:00:00 2015-12-22 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,199; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-20 00:00:00 2015-12-22 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,203; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-29 00:00:00 2016-01-01 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,207; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-29 00:00:00 2016-01-01 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,210; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-29 00:00:00 2016-01-01 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,213; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-29 00:00:00 2016-01-01 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,218; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-22 00:00:00 2016-01-24 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,221; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-22 00:00:00 2016-01-24 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,225; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-22 00:00:00 2016-01-24 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,228; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-22 00:00:00 2016-01-24 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,232; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-12 00:00:00 2018-01-16 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,236; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-12 00:00:00 2018-01-16 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,239; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-12 00:00:00 2018-01-16 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,244; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-12 00:00:00 2018-01-16 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,248; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-03-22 00:00:00 2018-03-24 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,252; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-03-22 00:00:00 2018-03-24 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,255; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-03-22 00:00:00 2018-03-24 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,259; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-03-22 00:00:00 2018-03-24 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,263; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-09-14 00:00:00 2018-09-18 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,266; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-09-14 00:00:00 2018-09-18 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,270; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-09-14 00:00:00 2018-09-18 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,273; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-09-14 00:00:00 2018-09-18 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,277; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-21 00:00:00 2018-12-25 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,281; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-21 00:00:00 2018-12-25 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,285; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-21 00:00:00 2018-12-25 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,289; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-21 00:00:00 2018-12-25 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,294; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-04-16 00:00:00 2019-04-18 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,297; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-04-16 00:00:00 2019-04-18 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,301; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-04-16 00:00:00 2019-04-18 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,305; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-04-16 00:00:00 2019-04-18 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,310; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-04-24 00:00:00 2019-04-26 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,315; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-04-24 00:00:00 2019-04-26 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,320; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-04-24 00:00:00 2019-04-26 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,324; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-04-24 00:00:00 2019-04-26 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,329; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-28 00:00:00 2019-10-30 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,333; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-28 00:00:00 2019-10-30 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,337; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-28 00:00:00 2019-10-30 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,340; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-28 00:00:00 2019-10-30 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,345; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-05-04 00:00:00 2020-05-08 00:00:00 dlr with RIME, flagged 0/27333
2026-02-10 16:51:23,348; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-05-04 00:00:00 2020-05-08 00:00:00 ulr with RIME, flagged 0/27333
2026-02-10 16:51:23,353; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-05-04 00:00:00 2020-05-08 00:00:00 dsr with RIME, flagged 0/27333
2026-02-10 16:51:23,357; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-05-04 00:00:00 2020-05-08 00:00:00 usr with RIME, flagged 0/27333
2026-02-10 16:51:23,363; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-09-02 00:00:00 2020-09-08 00:00:00 dlr with RIME, flagged 145/27333
2026-02-10 16:51:23,369; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-09-02 00:00:00 2020-09-08 00:00:00 ulr with RIME, flagged 145/27333
2026-02-10 16:51:23,374; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-09-02 00:00:00 2020-09-08 00:00:00 dsr with RIME, flagged 145/27333
2026-02-10 16:51:23,379; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-09-02 00:00:00 2020-09-08 00:00:00 usr with RIME, flagged 145/27333
2026-02-10 16:51:23,385; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-09-21 00:00:00 2020-10-10 00:00:00 dlr with RIME, flagged 456/27333
2026-02-10 16:51:23,390; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-09-21 00:00:00 2020-10-10 00:00:00 ulr with RIME, flagged 456/27333
2026-02-10 16:51:23,395; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-09-21 00:00:00 2020-10-10 00:00:00 dsr with RIME, flagged 456/27333
2026-02-10 16:51:23,400; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2020-09-21 00:00:00 2020-10-10 00:00:00 usr with RIME, flagged 456/27333
2026-02-10 16:51:23,406; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-14 00:00:00 2021-04-17 00:00:00 dlr with RIME, flagged 63/27333
2026-02-10 16:51:23,412; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-14 00:00:00 2021-04-17 00:00:00 ulr with RIME, flagged 63/27333
2026-02-10 16:51:23,417; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-14 00:00:00 2021-04-17 00:00:00 dsr with RIME, flagged 63/27333
2026-02-10 16:51:23,422; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-14 00:00:00 2021-04-17 00:00:00 usr with RIME, flagged 63/27333
2026-02-10 16:51:23,429; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-20 00:00:00 2021-04-24 00:00:00 dlr with RIME, flagged 96/27333
2026-02-10 16:51:23,435; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-20 00:00:00 2021-04-24 00:00:00 ulr with RIME, flagged 96/27333
2026-02-10 16:51:23,440; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-20 00:00:00 2021-04-24 00:00:00 dsr with RIME, flagged 96/27333
2026-02-10 16:51:23,445; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-04-20 00:00:00 2021-04-24 00:00:00 usr with RIME, flagged 96/27333
2026-02-10 16:51:23,451; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-05-13 00:00:00 2021-05-17 00:00:00 dlr with RIME, flagged 97/27333
2026-02-10 16:51:23,456; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-05-13 00:00:00 2021-05-17 00:00:00 ulr with RIME, flagged 97/27333
2026-02-10 16:51:23,461; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-05-13 00:00:00 2021-05-17 00:00:00 dsr with RIME, flagged 97/27333
2026-02-10 16:51:23,466; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-05-13 00:00:00 2021-05-17 00:00:00 usr with RIME, flagged 97/27333
2026-02-10 16:51:23,472; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-08-31 00:00:00 2021-09-09 00:00:00 dlr with RIME, flagged 217/27333
2026-02-10 16:51:23,477; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-08-31 00:00:00 2021-09-09 00:00:00 ulr with RIME, flagged 217/27333
2026-02-10 16:51:23,482; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-08-31 00:00:00 2021-09-09 00:00:00 dsr with RIME, flagged 217/27333
2026-02-10 16:51:23,487; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-08-31 00:00:00 2021-09-09 00:00:00 usr with RIME, flagged 217/27333
2026-02-10 16:51:23,493; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-21 00:00:00 2021-09-28 00:00:00 dlr with RIME, flagged 169/27333
2026-02-10 16:51:23,498; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-21 00:00:00 2021-09-28 00:00:00 ulr with RIME, flagged 169/27333
2026-02-10 16:51:23,503; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-21 00:00:00 2021-09-28 00:00:00 dsr with RIME, flagged 169/27333
2026-02-10 16:51:23,508; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-21 00:00:00 2021-09-28 00:00:00 usr with RIME, flagged 169/27333
2026-02-10 16:51:23,514; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-02 00:00:00 2021-10-04 00:00:00 dlr with RIME, flagged 49/27333
2026-02-10 16:51:23,519; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-02 00:00:00 2021-10-04 00:00:00 ulr with RIME, flagged 49/27333
2026-02-10 16:51:23,524; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-02 00:00:00 2021-10-04 00:00:00 dsr with RIME, flagged 49/27333
2026-02-10 16:51:23,529; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-02 00:00:00 2021-10-04 00:00:00 usr with RIME, flagged 49/27333
2026-02-10 16:51:23,535; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-11-03 00:00:00 2021-11-05 00:00:00 dlr with RIME, flagged 3/27333
2026-02-10 16:51:23,540; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-11-03 00:00:00 2021-11-05 00:00:00 ulr with RIME, flagged 3/27333
2026-02-10 16:51:23,545; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-11-03 00:00:00 2021-11-05 00:00:00 dsr with RIME, flagged 3/27333
2026-02-10 16:51:23,550; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-11-03 00:00:00 2021-11-05 00:00:00 usr with RIME, flagged 3/27333
2026-02-10 16:51:23,556; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-25 00:00:00 2022-01-31 00:00:00 dlr with RIME, flagged 7/27333
2026-02-10 16:51:23,561; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-25 00:00:00 2022-01-31 00:00:00 ulr with RIME, flagged 7/27333
2026-02-10 16:51:23,566; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-25 00:00:00 2022-01-31 00:00:00 dsr with RIME, flagged 7/27333
2026-02-10 16:51:23,571; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-01-25 00:00:00 2022-01-31 00:00:00 usr with RIME, flagged 7/27333
