NUK_K

 ======== test get_l2 ========= 

2026-02-10 16:16:13,605; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/NUK_K.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:16:17,230; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 0/25598
2026-02-10 16:16:17,271; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 1/25598
2026-02-10 16:16:17,609; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/25598
2026-02-10 16:16:17,650; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 1/25598
2026-02-10 16:16:17,962; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/25598
2026-02-10 16:16:18,002; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 4/25598
2026-02-10 16:16:18,309; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 2/25598
2026-02-10 16:16:18,339; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 12/25598
2026-02-10 16:16:18,639; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 3/25598
2026-02-10 16:16:18,670; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 2/25598
2026-02-10 16:16:18,965; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 0/25598
2026-02-10 16:16:18,993; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 0/25598
2026-02-10 16:16:19,289; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 0/25598
2026-02-10 16:16:19,583; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 2/25598
2026-02-10 16:16:19,875; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 2/25598
2026-02-10 16:16:19,905; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 0/25598
2026-02-10 16:16:20,209; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 0/25598
2026-02-10 16:16:20,503; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 4/25598
2026-02-10 16:16:20,793; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 4/25598
2026-02-10 16:16:20,825; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/25598
2026-02-10 16:16:21,130; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 3/25598
2026-02-10 16:16:21,424; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/25598
2026-02-10 16:16:21,456; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 1/25598
2026-02-10 16:16:21,749; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/25598
2026-02-10 16:16:21,781; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 5/25598
2026-02-10 16:16:22,078; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/25598
2026-02-10 16:16:22,346; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_K.csv
2026-02-10 16:16:22,821; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NUK_K.csv
2026-02-10 16:16:22,832; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-27 00:00:00 2014-11-30 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,836; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-27 00:00:00 2014-11-30 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,839; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-27 00:00:00 2014-11-30 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,842; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-27 00:00:00 2014-11-30 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,845; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-10 00:00:00 2014-12-12 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,848; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-10 00:00:00 2014-12-12 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,850; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-10 00:00:00 2014-12-12 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,853; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-10 00:00:00 2014-12-12 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,856; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-30 00:00:00 2015-01-02 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,859; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-30 00:00:00 2015-01-02 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,862; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-30 00:00:00 2015-01-02 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,864; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-30 00:00:00 2015-01-02 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,868; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-08 00:00:00 2015-01-10 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,870; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-08 00:00:00 2015-01-10 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,873; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-08 00:00:00 2015-01-10 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,875; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-08 00:00:00 2015-01-10 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,879; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-13 00:00:00 2015-02-20 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,881; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-13 00:00:00 2015-02-20 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,884; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-13 00:00:00 2015-02-20 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,887; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-13 00:00:00 2015-02-20 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,890; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-23 00:00:00 2015-02-28 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,893; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-23 00:00:00 2015-02-28 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,895; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-23 00:00:00 2015-02-28 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,898; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-23 00:00:00 2015-02-28 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,901; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-03-03 00:00:00 2015-03-07 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,904; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-03-03 00:00:00 2015-03-07 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,907; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-03-03 00:00:00 2015-03-07 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,909; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-03-03 00:00:00 2015-03-07 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,913; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-03-12 00:00:00 2015-03-16 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,915; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-03-12 00:00:00 2015-03-16 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,918; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-03-12 00:00:00 2015-03-16 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,920; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-03-12 00:00:00 2015-03-16 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,924; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-11-27 00:00:00 2015-11-29 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,926; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-11-27 00:00:00 2015-11-29 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,929; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-11-27 00:00:00 2015-11-29 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,932; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-11-27 00:00:00 2015-11-29 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,935; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-31 00:00:00 2016-01-02 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,938; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-31 00:00:00 2016-01-02 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,940; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-31 00:00:00 2016-01-02 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,943; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-12-31 00:00:00 2016-01-02 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,946; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-24 00:00:00 2016-01-30 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,949; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-24 00:00:00 2016-01-30 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,951; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-24 00:00:00 2016-01-30 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,954; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-24 00:00:00 2016-01-30 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,957; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-02-09 00:00:00 2016-02-11 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,960; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-02-09 00:00:00 2016-02-11 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,963; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-02-09 00:00:00 2016-02-11 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,965; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-02-09 00:00:00 2016-02-11 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,969; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-02-17 00:00:00 2016-02-21 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,971; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-02-17 00:00:00 2016-02-21 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,974; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-02-17 00:00:00 2016-02-21 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,977; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-02-17 00:00:00 2016-02-21 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,980; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-02 00:00:00 2016-03-04 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,982; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-02 00:00:00 2016-03-04 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,985; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-02 00:00:00 2016-03-04 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,988; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-02 00:00:00 2016-03-04 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:22,991; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-12 00:00:00 2016-03-14 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:22,993; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-12 00:00:00 2016-03-14 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:22,996; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-12 00:00:00 2016-03-14 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:22,998; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-12 00:00:00 2016-03-14 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,002; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-29 00:00:00 2016-03-31 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,004; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-29 00:00:00 2016-03-31 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,007; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-29 00:00:00 2016-03-31 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,009; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-29 00:00:00 2016-03-31 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,013; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-04-16 00:00:00 2016-04-18 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,015; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-04-16 00:00:00 2016-04-18 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,018; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-04-16 00:00:00 2016-04-18 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,020; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-04-16 00:00:00 2016-04-18 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,024; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-16 00:00:00 2016-11-18 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,026; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-16 00:00:00 2016-11-18 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,029; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-16 00:00:00 2016-11-18 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,031; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-16 00:00:00 2016-11-18 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,035; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-13 00:00:00 2016-12-16 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,037; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-13 00:00:00 2016-12-16 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,040; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-13 00:00:00 2016-12-16 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,043; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-13 00:00:00 2016-12-16 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,046; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-23 00:00:00 2016-12-30 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,051; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-23 00:00:00 2016-12-30 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,053; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-23 00:00:00 2016-12-30 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,056; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-23 00:00:00 2016-12-30 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,059; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-21 00:00:00 2017-01-23 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,062; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-21 00:00:00 2017-01-23 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,064; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-21 00:00:00 2017-01-23 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,067; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-21 00:00:00 2017-01-23 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,070; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-04 00:00:00 2017-02-15 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,073; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-04 00:00:00 2017-02-15 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,076; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-04 00:00:00 2017-02-15 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,078; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-04 00:00:00 2017-02-15 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,081; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-19 00:00:00 2017-02-25 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,084; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-19 00:00:00 2017-02-25 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,087; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-19 00:00:00 2017-02-25 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,089; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-02-19 00:00:00 2017-02-25 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,092; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-03-03 00:00:00 2017-03-07 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,095; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-03-03 00:00:00 2017-03-07 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,098; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-03-03 00:00:00 2017-03-07 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,100; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-03-03 00:00:00 2017-03-07 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,104; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-10 00:00:00 2017-10-12 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,106; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-10 00:00:00 2017-10-12 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,109; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-10 00:00:00 2017-10-12 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,111; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-10 00:00:00 2017-10-12 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,115; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-19 00:00:00 2017-10-21 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,117; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-19 00:00:00 2017-10-21 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,120; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-19 00:00:00 2017-10-21 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,122; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-19 00:00:00 2017-10-21 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,126; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-11-12 00:00:00 2017-11-15 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,128; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-11-12 00:00:00 2017-11-15 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,131; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-11-12 00:00:00 2017-11-15 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,133; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-11-12 00:00:00 2017-11-15 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,136; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-03 00:00:00 2017-12-05 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,139; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-03 00:00:00 2017-12-05 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,142; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-03 00:00:00 2017-12-05 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,144; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-03 00:00:00 2017-12-05 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,148; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-12 00:00:00 2017-12-14 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,151; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-12 00:00:00 2017-12-14 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,153; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-12 00:00:00 2017-12-14 00:00:00 dsr with RIME, flagged 0/25598
2026-02-10 16:16:23,156; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-12 00:00:00 2017-12-14 00:00:00 usr with RIME, flagged 0/25598
2026-02-10 16:16:23,159; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-19 00:00:00 2017-12-21 00:00:00 dlr with RIME, flagged 0/25598
2026-02-10 16:16:23,162; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-19 00:00:00 2017-12-21 00:00:00 ulr with RIME, flagged 0/25598
2026-02-10 16:16:23,164; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-19 00:00:00 2017-12-21 00:00:00 dsr with RIME, flagged 0/25598
